날짜,매매지수,전세지수,월세지수,비아파트,아파트 거래량,아파트 인허가,아파트 준공,아파트 착공,지가변동률,KB주택매매가격지수,KB주택전세가격지수,아파트매매실거래가격지수,아파트매매가격지수,아파트전세가격지수,아파트월세통합가격지수,한국은행 기준금리,정부대출금리,국민주택채권1종(5년),현금통화량,중앙은행 대 예금취급기관부채,가계 통화량,기업 통화량,금융기관 통화량,기타 통화량,주택담보대출-예금취급기관,주택담보대출-예금은행,주택담보대출-비은행예금취급기관,주택담보대출 - 주택금융공사 및 주택도시기금,뉴스심리지수,경제심리지수(원계열),경제심리지수(순환변동치),소비자물가지수(총지수),소비자물가지수(주택임차료),소비자물가지수(전세),소비자물가지수(월세),생산자물가지수,수입물가지수,수출물가지수,기대인플레이션
2018-01-01,89.8,95.5,99.8,5169,9938,2031,1486,2152,0.417,65.602,78.247,103,87,92.9,98.2,1.5,1.638,2.598681818,96740.9,60734,1361356.7,672405.4,372695.6,153960.5,579043.6,465097.3,113946.3,141859,113.18,99.7,100.9,98.106,99.725,99.051,100.482,102.52,101.04,103.37,2.5
2018-02-01,90,95.4,99.7,5809,11986,938,1831,3796,0.417,66.249,78.341,104.8,88.2,93.1,98.3,1.5,1.638,2.702944444,96860.8,63014.6,1362481.5,677762.1,379917,155590.1,580327,466588.2,113738.8,142450.8,105.26,101.2,100.4,98.855,99.792,99.171,100.472,102.95,102.27,103.84,2.5
2018-03-01,90.1,95.2,99.7,9558,14609,2055,1451,3073,0.44,67.08,78.433,106.1,88.9,93,98.2,1.5,1.638,2.688142857,98355.4,62599.3,1373701,674395.6,375615.1,152808.3,582392.9,468822.8,113570.1,143717,103.55,98.1,99.8,98.751,99.821,99.282,100.422,102.91,100.82,104.39,2.5
2018-04-01,90.1,95.1,99.6,5812,6535,2524,1360,4764,0.302,67.624,78.427,107.4,89.2,92.7,98.1,1.5,1.651,2.61152381,98403.5,63450,1375667.2,678597.7,379965.5,156661,583879.7,470447.7,113432,144869.3,105.34,100.1,99.3,98.931,99.859,99.402,100.382,103.04,101,105.53,2.5
2018-05-01,90.1,94.8,99.5,6022,5697,2367,3420,6186,0.36,67.893,78.372,107.9,89.4,92.3,97.9,1.5,1.651,2.69085,98973.5,62229.9,1380359.8,682884.4,387124.6,157579.8,585506,472394.1,113112,146093.1,105.84,102.1,98.9,98.979,99.898,99.486,100.352,103.34,102.75,108.64,2.5
2018-06-01,90.1,94.6,99.3,4571,4830,729,3588,3663,0.424,68.158,78.343,108.6,89.6,92.1,97.8,1.5,1.651,2.603263158,99570.7,64717.3,1386712.3,684753.2,388758,159728.9,587660.8,474866.4,112794.3,147071.1,101.89,100.2,98.4,98.779,99.898,99.55,100.292,103.37,103.55,110.01,2.6
2018-07-01,90.1,94.4,99.2,6901,5852,2838,2890,5690,0.563,68.518,78.37,110.3,89.9,92.1,97.8,1.5,1.652,2.489818182,100157.4,65244.4,1390894.3,689057.5,392418.4,163397.9,589421.2,477140.3,112280.9,148043.7,91.27,95.9,97.9,98.59,99.917,99.606,100.262,103.85,106.14,111.5,2.6
2018-08-01,90.1,94.2,99.1,6890,7687,1830,1784,1743,0.613,69.318,78.507,115,90.7,92.4,97.9,1.5,1.652,2.355909091,100771.7,65488.3,1391927.1,692897.2,400948.2,165391.2,592145.6,480367.1,111778.5,148484,96.4,97,97.5,99.462,99.936,99.661,100.242,104.32,106.09,111.18,2.6
2018-09-01,90.4,94.1,99,4833,12395,1437,3027,3611,0.681,71.976,78.973,121.5,92.3,92.7,98,1.5,1.652,2.244705882,100669.3,68119.7,1394992,697614.4,386556.3,167034.8,594816.2,483501.3,111314.8,149266.2,101.19,99.5,97,100.221,99.936,99.689,100.212,104.62,106.3,113.03,2.7
2018-10-01,90.5,94.1,98.9,6805,10977,3461,6374,1656,0.69,73.3,79.35,122.4,92.9,92.9,98,1.5,1.685,2.297380952,102500.9,67434.5,1399129.2,708982.6,397046.3,166216.2,597077.5,485916.3,111161.2,150903.5,87.17,95.2,96.6,100.041,99.946,99.726,100.202,104.26,106.82,115.02,2.6
